st_date,year,state,city,cases,lat,lon
07-05-2012 00:00,2012,Tamil Nadu,Pudukottai,20,10.4902971,79.0955723
20-04-2012 00:00,2012,Maharashtra,Nashik,16,20.5566829,74.223802
18-04-2012 00:00,2012,Tamil Nadu,Tirunelveli,188,8.7139126,77.7566523
28-04-2012 00:00,2012,Karnataka,Raichur,31,15.7702099,76.7560495
01-05-2013 00:00,2013,Chhattisgarh,Durg,67,21.3565862,81.4114142
07-05-2015 00:00,2015,karnataka,Raichur,9,16.0152201,76.4394972
27-04-2015 00:00,2015,Maharashtra,Ahmednagar,11,19.0598207,74.8896651
23-05-2011 00:00,2011,Punjab,Shri Muktsar Sahib,26,30.4761773,74.5121599
21-05-2011 00:00,2011,Tamil Nadu,Tirunelveli,16,9.0778543,77.3451861
23-05-2012 00:00,2012,Andhra Pradesh,Mahabubnagar,57,17.3458892,78.5525606
25-05-2012 00:00,2012,Tamil Nadu,Pudukottai,18,10.2812022,79.1294516
12-05-2012 00:00,2012,Kerala,Wayanad,32,11.6903194,75.9576732
11-05-2012 00:00,2012,Kerala,Pathanamthitta,10,9.4351246,76.854799
13-05-2012 00:00,2012,Maharashtra,Gadchiroli,7,20.6272008,79.9587893
07-05-2012 00:00,2012,Maharashtra,Pune,6,18.7395656,73.9154069
13-05-2012 00:00,2012,Tamil Nadu,Pudukottai,27,10.4201856,79.0851065
18-04-2012 00:00,2012,Tamil Nadu,Tirunelveli,343,8.7139126,77.7566523
20-05-2013 00:00,2013,karnataka,Kolar,14,13.1703516,78.1193823
13-05-2013 00:00,2013,karnataka,Mysore,46,12.2044598,76.5538806
06-04-2013 00:00,2013,Kerala,Idukki,15,9.9188973,77.1024902
23-03-2013 00:00,2013,Kerala,Palakkad,64,10.7998004,76.3357128
17-04-2013 00:00,2013,Maharashtra,Sangli,14,17.1458204,74.776706
17-05-2014 00:00,2014,Andhra Pradesh,Kadapa,15,14.6587411,78.7532884
26-05-2014 00:00,2014,Maharashtra,Beed,22,19.002218,76.1428667
26-04-2010 00:00,2010,Kerala,Kottayam,10,9.4810774,76.8456315
10-05-2011 00:00,2011,Maharashtra,Sindhudurg,5,16.0583702,73.4663687
18-05-2012 00:00,2012,Tamil Nadu,Thoothukudi,21,8.6754451,77.8610254
06-05-2012 00:00,2012,Andhra Pradesh,Mahabubnagar,32,16.6498717,77.8848217
08-05-2012 00:00,2012,Maharashtra,Raigad,167,19.0102461,73.1699163
06-04-2012 00:00,2012,Maharashtra,Sholapur,65,17.3971942,75.5131117
02-05-2012 00:00,2012,Maharashtra,Chandrapur,50,20.6186166,79.6586309
18-04-2012 00:00,2012,Tamil Nadu,Tirunelveli,393,8.7139126,77.7566523
12-05-2013 00:00,2013,karnataka,kolar,16,12.987322,77.959588
11-05-2013 00:00,2013,karnataka,kolar,21,13.2875743,78.2352888
10-05-2013 00:00,2013,karnataka,Mysore,24,11.9837961,76.373573
14-05-2014 00:00,2014,maharashtra,Ahmednagar,16,19.2445574,75.1350403
12-05-2014 00:00,2014,Madhya Pradesh,Mandla,50,22.4759338,80.3666572
09-03-2014 00:00,2014,Kerala,Palakkad,15,10.7674438,76.7625073
25-04-2014 00:00,2014,Maharashtra,Ahmednagar,20,19.3688675,75.0906804
28-04-2014 00:00,2014,Rajasthan,Tonk,24,24.8177476,75.8795378
14-05-2015 00:00,2015,Rajasthan,Baran,202,25.0131811,76.3492569
21-04-2015 00:00,2015,Kerala,Kozhikode,11,11.3212492,75.996346
21-04-2015 00:00,2015,Kerala,Pathanamthitta,10,9.2677634,76.8057776
03-05-2010 00:00,2010,Kerala,Kottayam,8,9.7542026,76.7602469
14-05-2010 00:00,2010,Kerala,Idukki,10,9.8559949,76.6845832
26-04-2010 00:00,2010,Kerala,Kottayam,16,9.4810562,76.8450521
24-05-2012 00:00,2012,Karnataka,Kolar,20,12.9031792,78.1304912
25-05-2012 00:00,2012,Tamil Nadu,Theni,9,10.0079322,77.4735441
19-05-2012 00:00,2012,Maharashtra,Raigad,23,18.7851576,73.2236309
18-04-2012 00:00,2012,Tamil Nadu,Tirunelveli,303,8.7139126,77.7566523
01-06-2013 00:00,2013,Karnataka,Mysore,23,12.3024485,76.6308683
22-05-2013 00:00,2013,Karnataka,Shimoga,22,14.2673037,75.3557927
07-04-2013 00:00,2013,Maharashtra,Chandrapur,110,19.7268087,79.453512
19-05-2013 00:00,2013,Maharashtra,Kolhapur,11,16.4722095,74.2319057
29-05-2014 00:00,2014,Maharashtra,Beed,12,18.8207445,76.1120131
20-05-2015 00:00,2015,Karnataka,Shimoga,45,14.3811533,75.1022271
21-05-2015 00:00,2015,Karnataka,Tumkur,38,13.4423434,76.9074034
25-05-2015 00:00,2015,Karnataka,Tumkur,46,13.1522743,77.7647641
24-05-2015 00:00,2015,Maharashtra,Nashik,29,20.3239855,74.6766367
28-04-2015 00:00,2015,Kerala,Malappuram,17,11.1118499,76.3420206
06-06-2012 00:00,2012,Kerala,Pathanamthitta,10,9.2105121,76.7661916
18-04-2012 00:00,2012,Tamil Nadu,Tirunelveli,326,8.7139126,77.7566523
05-06-2013 00:00,2013,gujarat,Jamnagar,10,21.8872071,70.0775432
30-05-2013 00:00,2013,Karnataka,Mysore,21,12.2751575,76.5408753
27-05-2013 00:00,2013,Karnataka,Mysore,36,12.4331532,76.192864
04-04-2013 00:00,2013,Kerala,Alappuzha,16,9.4833528,76.3314745
02-06-2014 00:00,2014,Karnataka,Bangalore urban,18,12.992277,77.716146
31-05-2014 00:00,2014,Maharashtra,Jalna,28,19.9961981,75.7688155
02-06-2014 00:00,2014,Maharashtra,Nashik,24,20.3839224,73.8055134
16-05-2014 00:00,2014,Maharashtra,Amravati,17,20.8500941,78.0027702
26-03-2014 00:00,2014,Maharashtra,Bhandara,31,21.177658,79.6570127
29-05-2015 00:00,2015,Karnataka,Tumkur,23,13.5415582,77.030539
28-03-2015 00:00,2015,Kerala,Kannur,41,12.2240691,75.3033168
04-05-2015 00:00,2015,Kerala,Kozhikode,24,11.1734548,75.8352429
29-04-2015 00:00,2015,Karnataka,Chikkaballapur,657,13.784605,77.7981834
05-06-2010 00:00,2010,Karnataka,Pathanamthitta,7,9.1985238,76.9787496
24-05-2010 00:00,2010,Karnataka,Uttara Kannada,40,14.2671362,74.5170319
